Site,ID,Latitude,Longitude,SampleDate,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,RootC.kg.m2,NIR,peak_date
Alkali Flat,A1,40.09484899,-120.3442265,2016-07-08,,,,,7716,2016-03-07
Alkali Flat,A10,40.09414684,-120.3433888,2016-07-08,7.890251686,0.767969937,1.096108377,0.402271774,8044,2016-04-24
Alkali Flat,A12,40.0937404,-120.3429252,2016-07-08,16.89787466,1.647039699,3.52153968,1.292405063,8325,2016-04-24
Alkali Flat,A2,40.09496072,-120.3445544,2016-07-08,12.29394366,1.07403893,1.282680016,0.470743566,7695,2016-03-07
Alkali Flat,A3,40.09507086,-120.3448771,2016-07-08,13.85880977,1.079776448,2.68779767,0.986421745,7681,2016-03-07
Alkali Flat,A4,40.0953105,-120.3446953,2016-07-08,15.69134828,1.18157852,6.244319532,2.291665268,7780,2016-02-04
Alkali Flat,A5,40.09518997,-120.3443801,2016-07-08,,,,,8148,2016-02-04
Alkali Flat,A6,40.09508595,-120.3440463,2016-07-08,9.86958903,0.954303892,11.15348578,4.093329281,7720,2016-03-07
Alkali Flat,A8,40.09377879,-120.3434385,2016-07-08,10.61331012,0.773036736,5.066586063,1.859437085,8274,2016-04-24
Alkali Flat,A9,40.09397417,-120.3436658,2016-07-08,8.970592926,0.718835257,1.375965836,0.504979462,8265,2016-04-24
Clover Valley,CV1,39.9614702,-120.4134275,2016-11-05,8.407014805,0.577489629,0.816250919,0.299564087,8609,2016-01-28
Clover Valley,CV10,39.96291071,-120.4135297,2016-11-05,6.898781024,0.492419629,2.390449121,0.877294827,8693,2016-01-28
Clover Valley,CV12,39.96250327,-120.4139947,2016-11-05,7.066865309,0.51572179,0.641340008,0.235371783,8756,2016-01-28
Clover Valley,CV3,39.96197512,-120.4131519,2016-11-05,7.178125312,0.472916094,0.991161831,0.363756392,8601,2016-01-28
Clover Valley,CV5,39.96180673,-120.4136264,2016-11-05,5.794871479,0.424686886,0.699643645,0.256769218,8675,2016-01-28
Clover Valley,CV8,39.96253445,-120.4134874,2016-11-05,3.467868004,0.245200926,2.052446308,0.753247795,8632,2016-01-28
Dotta,D1,39.90285002,-120.369144,2016-06-29,19.72784162,1.702103193,0.207943478,0.076315256,10161,2016-11-27
Dotta,D10,39.90626656,-120.3808085,2016-07-07,14.42008401,0.939828653,2.612002942,0.95860508,8749,2016-11-27
Dotta,D11,39.90641098,-120.381115,2016-07-07,7.543926984,0.491328502,2.938503309,1.078430714,8200,2016-11-27
Dotta,D12,39.90658399,-120.381405,2016-07-07,6.900145408,0.404245285,1.76076984,0.646202531,7931,2016-11-27
Dotta,D2,39.902602,-120.368949,2016-06-29,10.26610274,0.80435986,1.744917016,0.640384545,10828,2016-11-27
Dotta,D3,39.90238499,-120.368752,2016-06-29,9.193797072,0.660691713,2.223232017,0.81592615,10896,2016-11-27
Dotta,D4,39.90252304,-120.368462,2016-06-29,7.262524161,0.519744752,2.522917538,0.925910736,10949,2016-11-27
Dotta,D5,39.90274399,-120.368636,2016-06-29,8.783139195,0.655006979,4.496401014,1.650179172,11006,2016-11-27
Dotta,D6,39.90298379,-120.3688082,2016-06-29,11.0728706,0.818131558,1.244647198,0.456785522,10790,2016-11-27
Dotta,D7,39.90637503,-120.381626,2016-07-07,9.777318716,0.677042671,2.775253126,1.018517897,8153,2016-02-20
Dotta,D8,39.90622348,-120.3813162,2016-07-07,8.452499553,0.599027545,1.026144013,0.376594853,8094,2016-11-27
Dotta,D9,39.90608602,-120.3810322,2016-07-07,9.915235922,0.718163687,4.914996607,1.803803755,8094,2016-11-27
Big Flat,F1,40.1495622,-120.45974,2017-08-02,15.33807677,1.084178777,5.748738617,2.109787072,9758,2017-01-05
Big Flat,F10,40.14806067,-120.4615,2017-08-02,,,,,10615,2017-01-05
Big Flat,F11,40.14825848,-120.4612667,2017-08-02,13.05454009,0.995118219,11.67238814,4.283766449,10578,2017-01-05
Big Flat,F12,40.14845227,-120.4610242,2017-08-02,13.75530921,0.996136717,6.967284633,2.55699346,10461,2017-01-05
Big Flat,F2,40.14931435,-120.4599129,2017-08-02,14.46804084,1.088486382,9.503492846,3.487781874,9759,2017-01-05
Big Flat,F3,40.14907463,-120.4601002,2017-08-02,,,,,9997,2017-01-05
Big Flat,F4,40.14893163,-120.4597987,2017-08-02,7.049353631,0.472454035,3.265003677,1.198256349,9826,2017-01-05
Big Flat,F5,40.14916884,-120.4596047,2017-08-02,10.69430278,0.794952038,8.745545564,3.209615222,9607,2017-01-05
Big Flat,F8,40.14846073,-120.4615125,2017-08-02,10.39102751,0.842214437,6.384248261,2.343019112,10523,2017-01-05
Big Flat,F9,40.14824959,-120.4617603,2017-08-02,6.850823778,0.456503388,7.177177726,2.634024225,10615,2017-01-05
Lower Clarks,LC1,40.12300942,-120.5030499,2016-07-27,9.138479577,0.714038937,3.113414221,1.142623019,7780,2016-03-07
Lower Clarks,LC10,40.12339767,-120.5046246,2016-07-27,14.70904926,1.070590423,3.77224532,1.384414032,9447,2016-11-27
Lower Clarks,LC12,40.12289886,-120.5043605,2016-07-27,7.147938721,0.630972635,1.784091295,0.654761505,8170,2016-11-27
Lower Clarks,LC2,40.12324898,-120.5032104,2016-07-27,,,,,7787,2016-03-07
Lower Clarks,LC3,40.12348308,-120.5033699,2016-07-27,8.183320313,0.760528074,3.824718593,1.403671724,7787,2016-03-07
Lower Clarks,LC4,40.12336364,-120.5036824,2016-07-27,9.280781858,0.667363198,1.282680016,0.470743566,7779,2016-03-07
Lower Clarks,LC6,40.12288084,-120.5033593,2016-07-27,4.040703887,0.240178343,6.261810624,2.298084499,7787,2016-03-07
Lower Clarks,LC7,40.1230002,-120.5040419,2016-07-27,8.78364274,0.69446457,6.704918266,2.460705004,7775,2016-03-07
Lower Clarks,LC8,40.12324277,-120.5041704,2016-07-27,,,,,7775,2016-03-07
Lower Clarks,LC9,40.12349842,-120.5043098,2016-07-27,10.07449082,0.786080346,0.868724193,0.318821779,7758,2016-03-07
Lower Dixie,LX1,39.93990096,-120.338961,2016-07-18,5.677460429,0.44984847,2.786913853,1.022797384,10320,2016-04-24
Lower Dixie,LX10,39.93799802,-120.33828,2016-07-18,12.15962801,0.792538149,1.247697834,0.457905105,10484,2016-04-24
Lower Dixie,LX11,39.93820396,-120.338482,2016-07-18,11.3471777,0.826650801,0.215723458,0.079170509,10484,2016-04-24
Lower Dixie,LX12,39.93839599,-120.33869,2016-07-18,12.14995866,0.859558888,0.717134737,0.263188448,9393,2016-04-24
Lower Dixie,LX2,39.93969301,-120.338712,2016-07-18,7.918917532,0.559482225,3.848040048,1.412230698,10113,2016-04-24
Lower Dixie,LX3,39.93953803,-120.338442,2016-07-18,6.969885561,0.560948119,0.262366367,0.096288457,10388,2016-04-24
Lower Dixie,LX4,39.93929202,-120.338708,2016-07-18,6.186286822,0.508734285,0.483920188,0.177598709,10099,2016-04-24
Lower Dixie,LX5,39.93949603,-120.338936,2016-07-18,8.91038439,0.702989997,6.314283897,2.31734219,10487,2016-04-24
Lower Dixie,LX6,39.93969703,-120.339184,2016-07-18,10.16310309,0.788162928,1.428439109,0.524237153,10528,2016-04-24
Lower Dixie,LX7,39.93859003,-120.338434,2016-07-18,12.8026807,0.90287312,0.606357826,0.222533322,9373,2016-04-24
Lower Dixie,LX8,39.938355,-120.338213,2016-07-18,14.47897647,1.037464105,0.145759093,0.053493587,10186,2016-04-24
Lower Dixie,LX9,39.93814697,-120.338016,2016-07-18,8.424498018,0.609520557,0.903706375,0.33166024,10821,2016-04-24
McReynolds,M1,39.95647299,-120.496834,2016-08-09,6.897615461,1.377460968,10.6520745,3.90931134,7916,2016-01-28
McReynolds,M10,39.95878103,-120.486974,2016-08-09,23.01332402,1.67613551,3.56818259,1.309523011,9350,2016-04-24
McReynolds,M11,39.95906099,-120.48712,2016-08-09,17.62138323,1.406933689,4.640969512,1.703235811,9199,2016-04-24
McReynolds,M12,39.95888002,-120.487443,2016-08-09,,,,,8817,2016-04-24
McReynolds,M3,39.95647903,-120.496402,2016-08-09,,,,,7940,2016-01-28
McReynolds,M4,39.95659696,-120.496731,2016-08-09,4.355089526,0.438689232,3.988009217,1.463599383,7872,2016-01-28
McReynolds,M5,39.96023596,-120.488891,2016-08-09,5.024347546,0.563543135,2.320484756,0.851617905,7684,2016-03-07
McReynolds,M7,39.960616,-120.488743,2016-08-09,13.54147056,1.20844892,4.920826971,1.805943498,7695,2016-03-07
McReynolds,M8,39.96043101,-120.489059,2016-08-09,,,,,7699,2016-03-07
McReynolds,M9,39.95863896,-120.487278,2016-08-09,15.05175886,1.265052277,10.29642231,3.778786988,9209,2016-04-24
Poco,P1,39.96934005,-120.5231581,2016-07-07,7.664053632,0.533243208,4.186201143,1.536335819,7352,2016-01-12
Poco,P10,39.97230976,-120.5282042,2016-07-07,6.450532828,0.499849084,1.008652921,0.370175622,7026,2016-03-07
Poco,P11,39.97209133,-120.5279566,2016-07-07,4.554110268,0.34216377,1.684975112,0.618385866,7016,2016-03-07
Poco,P2,39.9694351,-120.5234843,2016-07-07,,,,,7090,2016-01-28
Poco,P3,39.96953015,-120.5237733,2016-07-07,7.998668129,0.524859582,0.874554556,0.320961522,7079,2016-03-07
Poco,P4,39.96977356,-120.5236449,2016-07-07,,,,,7076,2016-03-07
Poco,P5,39.96969561,-120.5233141,2016-07-07,6.941850828,0.517813565,6.564989537,2.40935116,7080,2016-03-07
Poco,P6,39.96957659,-120.5230065,2016-07-07,6.022418827,0.589221451,8.197491375,3.008479335,7389,2016-01-12
Poco,P7,39.97169059,-120.5279623,2016-07-07,3.843319514,0.370864951,2.565360032,0.941487132,7008,2016-03-07
Poco,P9,39.97208613,-120.5284366,2016-07-07,6.654946254,0.585012565,2.01147548,0.738211501,7033,2016-03-07
Upper Clarks,UC1,40.12896904,-120.503472,2016-08-04,11.25044291,0.823254369,6.634953901,2.435028082,7854,2016-03-07
Upper Clarks,UC10,40.13574597,-120.508032,2016-08-04,12.09169661,0.956426421,10.79783359,3.962804926,7821,2016-03-07
Upper Clarks,UC11,40.135764,-120.508365,2016-08-04,11.82362349,1.034946079,11.31673596,4.153242097,7818,2016-03-07
Upper Clarks,UC12,40.13547499,-120.508348,2016-08-04,,,,,7825,2016-03-07
Upper Clarks,UC2,40.12923097,-120.50364,2016-08-04,,,,,7846,2016-03-07
Upper Clarks,UC4,40.12885303,-120.503759,2016-08-04,7.156007254,0.702811883,4.955809153,1.818781959,7837,2016-03-07
Upper Clarks,UC6,40.13476001,-120.506502,2016-08-04,10.69491919,0.804331356,7.771874824,2.85227806,8073,2016-02-20
Upper Clarks,UC7,40.13472598,-120.506871,2016-08-04,7.475499641,0.549624059,9.246956843,3.393633161,7838,2016-03-07
Upper Clarks,UC8,40.134442,-120.506847,2016-08-04,,,,,7831,2016-03-07
Upper Clarks,UC9,40.13546803,-120.508009,2016-08-04,9.703267072,0.824023055,2.833556763,1.039915332,7819,2016-03-07
Dixie,X1,39.93496503,-120.333205,2016-07-18,7.765580811,0.481508343,6.099675371,2.238580861,6428,2016-03-07
Dixie,X10,39.93350197,-120.332292,2016-07-18,9.552680471,0.698334103,1.422608745,0.522097409,8643,2016-11-27
Dixie,X11,39.93341303,-120.332613,2016-07-18,9.507988668,0.674649691,1.591689293,0.584149971,8688,2016-11-27
Dixie,X12,39.93366198,-120.332703,2016-07-18,10.98886816,0.719009193,2.198047118,0.806683292,8487,2016-11-27
Dixie,X2,39.93470997,-120.333044,2016-07-18,13.01429473,0.832611145,3.581439405,1.314388262,6623,2016-04-24
Dixie,X3,39.93454602,-120.333458,2016-07-18,10.72550007,0.714785045,1.820258856,0.668035,7770,2016-11-27
Dixie,X4,39.934845,-120.333505,2016-07-18,13.21825736,0.822797559,1.711766606,0.628218344,8420,2016-11-27
Dixie,X5,39.93482203,-120.332041,2016-07-18,9.975618668,0.607486326,1.877377115,0.688997401,9039,2016-11-27
Dixie,X6,39.93461601,-120.331804,2016-07-18,14.09974835,1.084413876,2.040627299,0.748910219,9041,2016-11-27
Dixie,X7,39.93445599,-120.33211,2016-07-18,15.31019986,0.980828418,5.474711523,2.009219129,9044,2016-11-27
Dixie,X8,39.934672,-120.332337,2016-07-18,20.02309396,1.405231428,2.752441827,1.010146151,7797,2016-11-27
Dixie,X9,39.93374697,-120.332374,2016-07-18,10.84734058,0.736746583,4.046272414,1.484981976,7808,2016-11-27
Coyote,Y1,40.110052,-120.4172487,2016-07-08,8.305925057,0.564858338,1.148581651,0.421529466,7759,2016-03-07
Coyote,Y10,40.11158656,-120.4194028,2016-07-08,14.28796483,0.960706337,1.387626562,0.509258948,7721,2016-03-07
Coyote,Y12,40.11144239,-120.41871,2016-07-08,8.812512678,0.638887621,4.209522598,1.544894793,7738,2016-03-07
Coyote,Y2,40.11010582,-120.4176001,2016-07-08,,,,,7805,2016-04-24
Coyote,Y3,40.11012996,-120.4179603,2016-07-08,9.257846305,0.683473766,0.198232366,0.072751278,7745,2016-03-07
Coyote,Y4,40.11039759,-120.4178613,2016-07-08,11.00853475,0.769514109,0.437277278,0.160480761,7734,2016-03-07
Coyote,Y6,40.11030765,-120.4171755,2016-07-08,8.821579661,0.628496516,0.256536003,0.094148713,7740,2016-03-07
Coyote,Y7,40.11120024,-120.4188502,2016-07-08,7.815537735,0.562677568,0.227384185,0.083449996,7721,2016-03-07
Coyote,Y8,40.11126839,-120.4192016,2016-07-08,,,,,7736,2016-03-07
Coyote,Y9,40.1113419,-120.4195474,2016-07-08,9.613114377,0.695717844,0.40812546,0.149782044,7706,2016-03-07
